,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,71,501,519,554,587,685,742,780,789,797,810,1130,1204,1727,1919
0,Anthony Edwards_points_under,27.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1,Daniel Gafford_assists_over,0.5,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0
2,Daniel Gafford_points_over,8.5,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,
3,Dereck Lively II_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
4,Dereck Lively II_steals_under,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
5,Josh Green_points_over,3.5,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
6,Josh Green_rebounds_over,1.5,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0
7,Karl-Anthony Towns_points_under,20.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
8,Luka Doncic_rebounds_over,8.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
9,Mike Conley_points_over,10.5,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0
10,Naz Reid_points_over,10.5,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,Tim Hardaway Jr._assists_over,0.5,,1.0,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,
12,Tim Hardaway Jr._fg3m_over,0.5,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,
13,Tim Hardaway Jr._points_over,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14,Tim Hardaway Jr._rebounds_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
